date,year,month,week_of_year,district,state,population,rainfall_mm,rainfall_7d_mm,rainfall_30d_mm,flood_risk_score,flood_severity,affected_population,demand_food_packets,demand_water_liters,demand_ors_packets,demand_medical_kits,demand_tarpaulins
2018-01-08,2018,1,2,Jajpur,Odisha,1826275,5.1,32.9,134.8,0.0,0.0,0,0,0,0,0,0
2018-01-08,2018,1,2,Mayurbhanj,Odisha,2513895,3.5,17.0,61.6,0.083,0.066,2086,679,229556,397,49,446
2018-01-08,2018,1,2,Ganjam,Odisha,3520151,9.2,55.1,179.9,0.052,0.043,2012,486,186927,238,32,445
2018-01-08,2018,1,2,Khordha,Odisha,2246341,4.5,20.9,107.9,0.094,0.083,1193,348,121450,304,25,206
2018-01-08,2018,1,2,Darbhanga,Bihar,3921971,7.9,49.8,239.8,0.0,0.0,0,0,0,0,0,0
2018-01-08,2018,1,2,Sitamarhi,Bihar,3419622,1.2,8.3,28.0,0.064,0.059,3700,1059,442251,705,64,644
2018-01-08,2018,1,2,Madhubani,Bihar,4476044,5.6,25.0,115.4,0.0,0.0,0,0,0,0,0,0
2018-01-08,2018,1,2,Supaul,Bihar,2218876,5.7,43.4,114.9,0.029,0.022,465,156,56009,30,8,100
2018-01-08,2018,1,2,Saharsa,Bihar,1900661,6.1,47.6,138.5,0.0,0.0,0,0,0,0,0,0
2018-01-08,2018,1,2,Khagaria,Bihar,1666886,4.5,19.2,141.5,0.043,0.031,300,106,35758,28,6,59
2018-01-08,2018,1,2,Katihar,Bihar,3071029,3.0,21.0,85.3,0.0,0.0,0,0,0,0,0,0
2018-01-08,2018,1,2,Muzaffarpur,Bihar,4801062,4.4,20.6,77.0,0.04,0.04,2075,523,190691,261,34,455
2018-01-08,2018,1,2,Bhagalpur,Bihar,3037766,4.1,18.5,132.9,0.012,0.01,106,35,12623,3,2,20
2018-01-08,2018,1,2,Gopalganj,Bihar,2562012,0.9,7.4,15.7,0.079,0.07,516,152,46968,100,8,107
2018-01-15,2018,1,3,Puri,Odisha,1497888,6.0,49.8,131.3,0.077,0.062,1653,441,197684,279,39,285
2018-01-15,2018,1,3,Kendrapara,Odisha,1439891,5.1,43.0,83.9,0.049,0.045,1081,327,117911,152,21,224
2018-01-15,2018,1,3,Jagatsinghpur,Odisha,1136605,6.7,29.6,135.3,0.009,0.01,80,23,8702,2,1,15
2018-01-15,2018,1,3,Balasore,Odisha,2317419,7.1,32.0,229.9,0.0,0.0,0,0,0,0,0,0
2018-01-15,2018,1,3,Bhadrak,Odisha,1506522,2.4,19.2,72.2,0.092,0.066,300,85,34434,64,5,61
2018-01-15,2018,1,3,Cuttack,Odisha,2618708,5.7,44.0,171.0,0.0,0.0,0,0,0,0,0,0
2018-01-15,2018,1,3,Jajpur,Odisha,1826275,5.0,37.2,160.4,0.002,0.002,6,1,559,0,0,1
2018-01-15,2018,1,3,Mayurbhanj,Odisha,2513895,7.1,40.6,121.4,0.077,0.075,2380,791,251411,570,48,484
2018-01-15,2018,1,3,Ganjam,Odisha,3520151,4.5,21.4,69.9,0.049,0.049,2019,655,193739,273,32,385
2018-01-15,2018,1,3,Khordha,Odisha,2246341,1.5,9.3,48.1,0.072,0.061,1541,514,156783,287,35,349
2018-01-15,2018,1,3,Darbhanga,Bihar,3921971,1.6,9.8,52.0,0.0,0.0,0,0,0,0,0,0
2018-01-15,2018,1,3,Sitamarhi,Bihar,3419622,2.8,15.8,87.1,0.024,0.022,619,161,58995,36,10,115
2018-01-15,2018,1,3,Madhubani,Bihar,4476044,4.8,24.2,103.2,0.0,0.0,0,0,0,0,0,0
2018-01-15,2018,1,3,Supaul,Bihar,2218876,6.7,49.2,122.8,0.0,0.0,0,0,0,0,0,0
2018-01-15,2018,1,3,Saharsa,Bihar,1900661,6.2,39.1,151.2,0.016,0.012,97,29,9398,3,1,16
2018-01-15,2018,1,3,Khagaria,Bihar,1666886,2.9,16.0,49.4,0.0,0.0,0,0,0,0,0,0
2018-01-15,2018,1,3,Katihar,Bihar,3071029,8.0,48.4,139.2,0.027,0.022,352,111,37744,22,8,72
2018-01-15,2018,1,3,Muzaffarpur,Bihar,4801062,4.3,20.7,83.1,0.0,0.0,0,0,0,0,0,0
2018-01-15,2018,1,3,Bhagalpur,Bihar,3037766,5.5,25.9,122.8,0.0,0.0,0,0,0,0,0,0
2018-01-15,2018,1,3,Gopalganj,Bihar,2562012,9.1,48.8,262.2,0.081,0.063,1315,382,138390,234,22,271
2018-01-22,2018,1,4,Puri,Odisha,1497888,6.3,30.4,148.5,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Kendrapara,Odisha,1439891,3.8,26.8,108.9,0.038,0.036,417,120,41799,48,9,95
2018-01-22,2018,1,4,Jagatsinghpur,Odisha,1136605,5.7,46.7,104.9,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Balasore,Odisha,2317419,4.4,33.3,117.7,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Bhadrak,Odisha,1506522,1.3,9.2,30.3,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Cuttack,Odisha,2618708,5.3,29.9,93.3,0.028,0.029,688,209,80776,63,11,129
2018-01-22,2018,1,4,Jajpur,Odisha,1826275,6.7,28.9,168.2,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Mayurbhanj,Odisha,2513895,7.6,36.6,144.9,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Ganjam,Odisha,3520151,1.4,8.9,46.2,0.075,0.057,2441,734,264874,376,56,551
2018-01-22,2018,1,4,Khordha,Odisha,2246341,8.6,69.2,237.5,0.03,0.022,380,118,38991,26,8,85
2018-01-22,2018,1,4,Darbhanga,Bihar,3921971,3.0,25.2,90.9,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Sitamarhi,Bihar,3419622,7.1,30.1,150.0,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Madhubani,Bihar,4476044,4.5,21.5,81.4,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Supaul,Bihar,2218876,3.0,24.4,52.4,0.026,0.022,118,42,12398,8,1,25
2018-01-22,2018,1,4,Saharsa,Bihar,1900661,5.4,27.3,99.5,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Khagaria,Bihar,1666886,0.8,5.5,15.0,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Katihar,Bihar,3071029,6.9,29.6,130.5,0.064,0.05,1980,479,183208,317,34,414
2018-01-22,2018,1,4,Muzaffarpur,Bihar,4801062,4.3,22.4,120.4,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Bhagalpur,Bihar,3037766,5.7,33.7,175.6,0.0,0.0,0,0,0,0,0,0
2018-01-22,2018,1,4,Gopalganj,Bihar,2562012,7.5,45.2,152.1,0.0,0.0,0,0,0,0,0,0
2018-01-29,2018,1,5,Puri,Odisha,1497888,4.3,22.8,105.7,0.0,0.0,0,0,0,0,0,0
2018-01-29,2018,1,5,Kendrapara,Odisha,1439891,1.7,11.4,46.5,0.028,0.028,169,40,15811,15,3,34
2018-01-29,2018,1,5,Jagatsinghpur,Odisha,1136605,8.3,41.1,262.1,0.051,0.044,386,116,35021,47,8,67
2018-01-29,2018,1,5,Balasore,Odisha,2317419,2.1,12.4,43.0,0.029,0.024,535,147,57294,39,11,121
2018-01-29,2018,1,5,Bhadrak,Odisha,1506522,3.3,14.2,64.7,0.035,0.033,121,36,13074,11,2,21
2018-01-29,2018,1,5,Cuttack,Odisha,2618708,5.4,33.7,146.8,0.0,0.0,0,0,0,0,0,0
2018-01-29,2018,1,5,Jajpur,Odisha,1826275,3.5,28.6,61.9,0.0,0.0,0,0,0,0,0,0
2018-01-29,2018,1,5,Mayurbhanj,Odisha,2513895,7.6,58.8,147.6,0.053,0.048,664,238,79007,86,14,149
2018-01-29,2018,1,5,Ganjam,Odisha,3520151,5.5,44.6,86.5,0.0,0.0,0,0,0,0,0,0
2018-01-29,2018,1,5,Khordha,Odisha,2246341,4.1,31.3,63.7,0.044,0.042,497,126,45561,64,9,106
2018-01-29,2018,1,5,Darbhanga,Bihar,3921971,4.6,29.9,135.2,0.0,0.0,0,0,0,0,0,0
2018-01-29,2018,1,5,Sitamarhi,Bihar,3419622,6.4,48.6,211.8,0.002,0.002,19,5,1982,0,0,4
2018-01-29,2018,1,5,Madhubani,Bihar,4476044,4.1,24.5,116.2,0.073,0.058,1103,311,108422,183,19,190
2018-01-29,2018,1,5,Supaul,Bihar,2218876,1.1,8.0,21.4,0.0,0.0,0,0,0,0,0,0
2018-01-29,2018,1,5,Saharsa,Bihar,1900661,2.8,23.0,52.8,0.019,0.021,311,97,32779,18,5,56
2018-01-29,2018,1,5,Khagaria,Bihar,1666886,6.1,34.7,98.0,0.0,0.0,0,0,0,0,0,0
2018-01-29,2018,1,5,Katihar,Bihar,3071029,3.3,25.4,63.5,0.024,0.019,371,115,39890,19,8,68
2018-01-29,2018,1,5,Muzaffarpur,Bihar,4801062,6.1,39.6,100.8,0.054,0.047,1752,475,196290,245,29,320
2018-01-29,2018,1,5,Bhagalpur,Bihar,3037766,4.0,30.8,94.8,0.011,0.01,155,52,15531,4,3,28
2018-01-29,2018,1,5,Gopalganj,Bihar,2562012,5.5,38.2,166.1,0.015,0.016,308,104,34255,15,6,66
2018-02-05,2018,2,6,Puri,Odisha,1497888,4.7,26.2,132.4,0.007,0.006,42,14,4419,0,0,8
2018-02-05,2018,2,6,Kendrapara,Odisha,1439891,5.0,26.7,133.4,0.004,0.004,24,6,2717,0,0,4
2018-02-05,2018,2,6,Jagatsinghpur,Odisha,1136605,6.2,28.8,198.1,0.009,0.009,14,3,1561,0,0,2
2018-02-05,2018,2,6,Balasore,Odisha,2317419,4.0,31.8,131.4,0.006,0.007,83,21,9390,1,1,15
2018-02-05,2018,2,6,Bhadrak,Odisha,1506522,8.1,57.5,187.2,0.0,0.0,0,0,0,0,0,0
2018-02-05,2018,2,6,Cuttack,Odisha,2618708,7.2,38.7,232.6,0.066,0.05,1172,413,120096,180,22,218
2018-02-05,2018,2,6,Jajpur,Odisha,1826275,4.9,39.1,94.0,0.012,0.01,20,6,2017,0,0,4
2018-02-05,2018,2,6,Mayurbhanj,Odisha,2513895,5.5,41.3,160.0,0.0,0.0,0,0,0,0,0,0
2018-02-05,2018,2,6,Ganjam,Odisha,3520151,4.8,22.6,83.2,0.072,0.07,2624,692,274825,504,54,488
2018-02-05,2018,2,6,Khordha,Odisha,2246341,3.7,22.8,56.7,0.05,0.036,582,173,62943,60,12,128
2018-02-05,2018,2,6,Darbhanga,Bihar,3921971,3.1,16.0,100.4,0.0,0.0,0,0,0,0,0,0
2018-02-05,2018,2,6,Sitamarhi,Bihar,3419622,3.2,18.4,50.7,0.002,0.001,6,1,642,0,0,1
2018-02-05,2018,2,6,Madhubani,Bihar,4476044,7.8,33.8,248.4,0.046,0.033,1303,423,152041,135,29,248
2018-02-05,2018,2,6,Supaul,Bihar,2218876,5.2,39.9,121.0,0.048,0.045,1008,330,92555,125,18,181
2018-02-05,2018,2,6,Saharsa,Bihar,1900661,4.4,36.2,91.8,0.021,0.016,260,82,27285,12,5,47
2018-02-05,2018,2,6,Khagaria,Bihar,1666886,2.7,19.4,44.7,0.028,0.02,133,39,15507,8,2,26
2018-02-05,2018,2,6,Katihar,Bihar,3071029,2.5,21.3,40.1,0.0,0.0,0,0,0,0,0,0
2018-02-05,2018,2,6,Muzaffarpur,Bihar,4801062,1.7,11.6,54.5,0.0,0.0,0,0,0,0,0,0
2018-02-05,2018,2,6,Bhagalpur,Bihar,3037766,3.9,32.3,71.2,0.0,0.0,0,0,0,0,0,0
2018-02-05,2018,2,6,Gopalganj,Bihar,2562012,2.7,15.7,87.3,0.016,0.013,208,58,23631,7,4,41
2018-02-12,2018,2,7,Puri,Odisha,1497888,5.2,28.9,154.2,0.0,0.0,0,0,0,0,0,0
2018-02-12,2018,2,7,Kendrapara,Odisha,1439891,6.7,41.5,202.1,0.061,0.062,1146,394,109711,198,20,198
2018-02-12,2018,2,7,Jagatsinghpur,Odisha,1136605,6.5,28.2,111.0,0.003,0.002,9,2,947,0,0,2
2018-02-12,2018,2,7,Balasore,Odisha,2317419,5.3,41.4,122.4,0.023,0.021,300,96,28094,16,5,63
2018-02-12,2018,2,7,Bhadrak,Odisha,1506522,6.2,51.5,103.9,0.0,0.0,0,0,0,0,0,0
2018-02-12,2018,2,7,Cuttack,Odisha,2618708,4.9,33.6,151.3,0.1,0.093,900,316,99873,259,15,188
2018-02-12,2018,2,7,Jajpur,Odisha,1826275,8.3,38.4,221.9,0.0,0.0,0,0,0,0,0,0
2018-02-12,2018,2,7,Mayurbhanj,Odisha,2513895,6.1,36.1,128.0,0.018,0.017,377,124,43121,19,8,66
2018-02-12,2018,2,7,Ganjam,Odisha,3520151,4.7,25.9,100.5,0.001,0.001,3,0,310,0,0,0
2018-02-12,2018,2,7,Khordha,Odisha,2246341,5.3,37.4,139.6,0.0,0.0,0,0,0,0,0,0
2018-02-12,2018,2,7,Darbhanga,Bihar,3921971,2.2,14.7,54.6,0.0,0.0,0,0,0,0,0,0
2018-02-12,2018,2,7,Sitamarhi,Bihar,3419622,4.5,36.4,72.3,0.02,0.021,361,91,37744,21,6,68
2018-02-12,2018,2,7,Madhubani,Bihar,4476044,5.4,29.5,139.3,0.07,0.069,2341,678,217922,451,50,423
2018-02-12,2018,2,7,Supaul,Bihar,2218876,8.7,40.4,219.2,0.011,0.009,144,42,16507,3,2,29
2018-02-12,2018,2,7,Saharsa,Bihar,1900661,5.2,40.1,162.1,0.027,0.021,148,46,15125,10,3,28
2018-02-12,2018,2,7,Khagaria,Bihar,1666886,6.5,34.8,193.6,0.0,0.0,0,0,0,0,0,0
2018-02-12,2018,2,7,Katihar,Bihar,3071029,6.3,32.0,104.8,0.021,0.015,300,93,31941,12,5,61
2018-02-12,2018,2,7,Muzaffarpur,Bihar,4801062,5.6,26.9,154.9,0.0,0.0,0,0,0,0,0,0
2018-02-12,2018,2,7,Bhagalpur,Bihar,3037766,6.1,32.8,100.8,0.081,0.06,3223,847,320482,546,60,561
2018-02-12,2018,2,7,Gopalganj,Bihar,2562012,3.5,26.3,66.9,0.002,0.002,11,3,1166,0,0,2
2018-02-19,2018,2,8,Puri,Odisha,1497888,8.3,51.4,134.2,0.021,0.019,311,81,34516,16,6,54
2018-02-19,2018,2,8,Kendrapara,Odisha,1439891,8.2,46.2,220.2,0.0,0.0,0,0,0,0,0,0
2018-02-19,2018,2,8,Jagatsinghpur,Odisha,1136605,7.4,47.4,194.7,0.007,0.005,26,6,2997,0,0,4
2018-02-19,2018,2,8,Balasore,Odisha,2317419,2.9,16.3,47.4,0.0,0.0,0,0,0,0,0,0
2018-02-19,2018,2,8,Bhadrak,Odisha,1506522,5.0,41.7,151.3,0.042,0.033,673,170,77394,64,15,149
2018-02-19,2018,2,8,Cuttack,Odisha,2618708,6.1,33.6,101.0,0.03,0.026,240,77,24036,20,5,52
2018-02-19,2018,2,8,Jajpur,Odisha,1826275,4.9,33.4,142.4,0.041,0.031,460,132,43175,42,7,78
2018-02-19,2018,2,8,Mayurbhanj,Odisha,2513895,6.0,36.2,124.0,0.003,0.002,12,3,1313,0,0,2
2018-02-19,2018,2,8,Ganjam,Odisha,3520151,4.6,20.3,150.5,0.075,0.054,2583,924,249993,387,43,486
2018-02-19,2018,2,8,Khordha,Odisha,2246341,5.6,25.0,135.5,0.0,0.0,0,0,0,0,0,0
2018-02-19,2018,2,8,Darbhanga,Bihar,3921971,2.3,13.0,50.9,0.0,0.0,0,0,0,0,0,0
2018-02-19,2018,2,8,Sitamarhi,Bihar,3419622,6.7,32.1,165.7,0.0,0.0,0,0,0,0,0,0
2018-02-19,2018,2,8,Madhubani,Bihar,4476044,5.2,32.0,158.2,0.0,0.0,0,0,0,0,0,0
2018-02-19,2018,2,8,Supaul,Bihar,2218876,3.3,24.4,100.9,0.0,0.0,0,0,0,0,0,0
2018-02-19,2018,2,8,Saharsa,Bihar,1900661,9.3,64.9,289.8,0.0,0.0,0,0,0,0,0,0
2018-02-19,2018,2,8,Khagaria,Bihar,1666886,4.5,20.7,126.7,0.005,0.003,4,0,477,0,0,0
2018-02-19,2018,2,8,Katihar,Bihar,3071029,7.4,51.6,135.7,0.0,0.0,0,0,0,0,0,0
2018-02-19,2018,2,8,Muzaffarpur,Bihar,4801062,6.2,36.1,116.2,0.066,0.049,2768,921,303187,409,45,631
2018-02-19,2018,2,8,Bhagalpur,Bihar,3037766,3.7,30.9,95.9,0.046,0.043,1705,575,187429,204,31,384
2018-02-19,2018,2,8,Gopalganj,Bihar,2562012,3.8,22.9,87.3,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Puri,Odisha,1497888,6.7,52.5,203.2,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Kendrapara,Odisha,1439891,2.9,19.0,95.6,0.025,0.027,83,21,7752,7,1,15
2018-02-26,2018,2,9,Jagatsinghpur,Odisha,1136605,7.5,54.4,185.1,0.001,0.001,1,0,107,0,0,0
2018-02-26,2018,2,9,Balasore,Odisha,2317419,3.8,23.1,57.0,0.024,0.019,372,133,34363,20,8,67
2018-02-26,2018,2,9,Bhadrak,Odisha,1506522,8.3,56.6,153.3,0.02,0.017,209,64,18687,10,3,44
2018-02-26,2018,2,9,Cuttack,Odisha,2618708,2.1,10.1,43.1,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Jajpur,Odisha,1826275,2.2,15.4,32.6,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Mayurbhanj,Odisha,2513895,5.3,34.4,131.8,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Ganjam,Odisha,3520151,4.7,34.9,129.3,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Khordha,Odisha,2246341,6.0,43.4,196.5,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Darbhanga,Bihar,3921971,4.3,28.1,108.9,0.054,0.042,1198,335,107910,136,27,223
2018-02-26,2018,2,9,Sitamarhi,Bihar,3419622,1.2,9.8,23.8,0.009,0.007,155,52,14742,3,3,30
2018-02-26,2018,2,9,Madhubani,Bihar,4476044,4.9,29.8,139.1,0.089,0.089,2517,788,235373,707,53,572
2018-02-26,2018,2,9,Supaul,Bihar,2218876,3.0,16.0,95.4,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Saharsa,Bihar,1900661,0.2,0.9,4.7,0.044,0.031,595,211,63602,60,9,116
2018-02-26,2018,2,9,Khagaria,Bihar,1666886,6.8,56.3,132.8,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Katihar,Bihar,3071029,3.5,27.4,88.6,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Muzaffarpur,Bihar,4801062,4.8,30.1,86.9,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Bhagalpur,Bihar,3037766,5.0,38.2,117.3,0.0,0.0,0,0,0,0,0,0
2018-02-26,2018,2,9,Gopalganj,Bihar,2562012,2.1,16.6,65.0,0.005,0.005,24,7,2886,0,0,4
2018-03-05,2018,3,10,Puri,Odisha,1497888,6.8,43.7,162.1,0.0,0.0,0,0,0,0,0,0
2018-03-05,2018,3,10,Kendrapara,Odisha,1439891,1.3,10.1,34.0,0.01,0.01,88,25,10390,2,1,18
2018-03-05,2018,3,10,Jagatsinghpur,Odisha,1136605,3.7,29.0,116.3,0.051,0.042,764,196,73048,89,17,159
2018-03-05,2018,3,10,Balasore,Odisha,2317419,4.6,31.2,75.9,0.0,0.0,0,0,0,0,0,0
2018-03-05,2018,3,10,Bhadrak,Odisha,1506522,2.9,22.7,65.3,0.021,0.016,34,10,3599,1,0,5
2018-03-05,2018,3,10,Cuttack,Odisha,2618708,3.4,26.5,100.8,0.03,0.027,706,196,73488,61,13,135
2018-03-05,2018,3,10,Jajpur,Odisha,1826275,7.6,42.6,137.7,0.0,0.0,0,0,0,0,0,0
2018-03-05,2018,3,10,Mayurbhanj,Odisha,2513895,6.5,44.4,139.3,0.063,0.065,1797,642,196278,324,38,340
2018-03-05,2018,3,10,Ganjam,Odisha,3520151,4.1,20.1,123.8,0.01,0.008,171,46,18724,4,3,32
2018-03-05,2018,3,10,Khordha,Odisha,2246341,7.1,57.5,216.5,0.0,0.0,0,0,0,0,0,0
2018-03-05,2018,3,10,Darbhanga,Bihar,3921971,4.7,29.0,144.7,0.0,0.0,0,0,0,0,0,0
2018-03-05,2018,3,10,Sitamarhi,Bihar,3419622,4.6,35.6,92.3,0.021,0.022,721,242,64758,53,15,135
2018-03-05,2018,3,10,Madhubani,Bihar,4476044,3.9,30.9,66.9,0.04,0.04,1691,425,163806,181,33,318
2018-03-05,2018,3,10,Supaul,Bihar,2218876,1.8,9.8,50.7,0.039,0.028,761,260,83927,65,17,137
2018-03-05,2018,3,10,Saharsa,Bihar,1900661,4.8,36.1,74.9,0.0,0.0,0,0,0,0,0,0
2018-03-05,2018,3,10,Khagaria,Bihar,1666886,5.5,42.5,170.5,0.032,0.03,396,115,39296,34,8,81
2018-03-05,2018,3,10,Katihar,Bihar,3071029,4.7,31.9,124.6,0.048,0.045,1713,459,180532,211,32,341
2018-03-05,2018,3,10,Muzaffarpur,Bihar,4801062,5.8,39.3,166.0,0.007,0.006,135,33,13130,2,2,23
2018-03-05,2018,3,10,Bhagalpur,Bihar,3037766,4.1,34.3,86.8,0.0,0.0,0,0,0,0,0,0
2018-03-05,2018,3,10,Gopalganj,Bihar,2562012,7.2,47.3,173.7,0.0,0.0,0,0,0,0,0,0
2018-03-12,2018,3,11,Puri,Odisha,1497888,7.2,44.9,197.7,0.001,0.001,1,0,101,0,0,0
2018-03-12,2018,3,11,Kendrapara,Odisha,1439891,6.5,36.0,195.2,0.077,0.083,2317,556,253240,524,41,402
2018-03-12,2018,3,11,Jagatsinghpur,Odisha,1136605,8.2,38.5,180.2,0.045,0.04,320,81,32782,39,5,55
2018-03-12,2018,3,11,Balasore,Odisha,2317419,6.0,42.2,163.9,0.0,0.0,0,0,0,0,0,0
2018-03-12,2018,3,11,Bhadrak,Odisha,1506522,3.8,30.2,61.1,0.018,0.017,63,15,6460,2,1,12
2018-03-12,2018,3,11,Cuttack,Odisha,2618708,1.1,7.9,28.9,0.037,0.038,1135,330,125358,123,20,246
2018-03-12,2018,3,11,Jajpur,Odisha,1826275,7.8,59.6,236.9,0.0,0.0,0,0,0,0,0,0
2018-03-12,2018,3,11,Mayurbhanj,Odisha,2513895,3.0,14.8,68.8,0.074,0.056,2415,679,227288,367,51,502
2018-03-12,2018,3,11,Ganjam,Odisha,3520151,3.9,22.9,79.8,0.0,0.0,0,0,0,0,0,0
2018-03-12,2018,3,11,Khordha,Odisha,2246341,4.9,21.2,118.3,0.0,0.0,0,0,0,0,0,0
2018-03-12,2018,3,11,Darbhanga,Bihar,3921971,4.5,24.3,139.9,0.08,0.06,4396,1220,515363,803,99,1006
2018-03-12,2018,3,11,Sitamarhi,Bihar,3419622,1.9,10.8,47.5,0.0,0.0,0,0,0,0,0,0
2018-03-12,2018,3,11,Madhubani,Bihar,4476044,3.4,15.2,72.5,0.0,0.0,0,0,0,0,0,0
2018-03-12,2018,3,11,Supaul,Bihar,2218876,4.6,27.0,150.9,0.117,0.123,5121,1578,557168,1773,98,882
2018-03-12,2018,3,11,Saharsa,Bihar,1900661,10.3,53.1,332.9,0.0,0.0,0,0,0,0,0,0
2018-03-12,2018,3,11,Khagaria,Bihar,1666886,3.7,28.9,117.4,0.044,0.033,426,152,44507,45,8,82
2018-03-12,2018,3,11,Katihar,Bihar,3071029,3.2,23.6,70.0,0.0,0.0,0,0,0,0,0,0
2018-03-12,2018,3,11,Muzaffarpur,Bihar,4801062,5.8,47.9,108.5,0.075,0.055,4377,1281,507423,785,72,976
2018-03-12,2018,3,11,Bhagalpur,Bihar,3037766,6.2,42.3,196.0,0.0,0.0,0,0,0,0,0,0
2018-03-12,2018,3,11,Gopalganj,Bihar,2562012,7.3,39.2,137.0,0.0,0.0,0,0,0,0,0,0
2018-03-19,2018,3,12,Puri,Odisha,1497888,6.5,47.2,113.3,0.026,0.026,397,126,45012,32,8,69
